titles,abstracts,terms,urls
FoundationStereo: Zero-Shot Stereo Matching,"Tremendous progress has been made in deep stereo matching to excel on
benchmark datasets through per-domain fine-tuning. However, achieving strong
zero-shot generalization - a hallmark of foundation models in other computer
vision tasks - remains challenging for stereo matching. We introduce
FoundationStereo, a foundation model for stereo depth estimation designed to
achieve strong zero-shot generalization. To this end, we first construct a
large-scale (1M stereo pairs) synthetic training dataset featuring large
diversity and high photorealism, followed by an automatic self-curation
pipeline to remove ambiguous samples. We then design a number of network
architecture components to enhance scalability, including a side-tuning feature
backbone that adapts rich monocular priors from vision foundation models to
mitigate the sim-to-real gap, and long-range context reasoning for effective
cost volume filtering. Together, these components lead to strong robustness and
accuracy across domains, establishing a new standard in zero-shot stereo depth
estimation.","['cs.CV', 'cs.LG', 'cs.RO']",http://arxiv.org/abs/2501.09898v1
FutureDepth: Learning to Predict the Future Improves Video Depth Estimation,"In this paper, we propose a novel video depth estimation approach,
FutureDepth, which enables the model to implicitly leverage multi-frame and
motion cues to improve depth estimation by making it learn to predict the
future at training. More specifically, we propose a future prediction network,
F-Net, which takes the features of multiple consecutive frames and is trained
to predict multi-frame features one time step ahead iteratively. In this way,
F-Net learns the underlying motion and correspondence information, and we
incorporate its features into the depth decoding process. Additionally, to
enrich the learning of multiframe correspondence cues, we further leverage a
reconstruction network, R-Net, which is trained via adaptively masked
auto-encoding of multiframe feature volumes. At inference time, both F-Net and
R-Net are used to produce queries to work with the depth decoder, as well as a
final refinement network. Through extensive experiments on several benchmarks,
i.e., NYUDv2, KITTI, DDAD, and Sintel, which cover indoor, driving, and
open-domain scenarios, we show that FutureDepth significantly improves upon
baseline models, outperforms existing video depth estimation methods, and sets
new state-of-the-art (SOTA) accuracy. Furthermore, FutureDepth is more
efficient than existing SOTA video depth estimation models and has similar
latencies when comparing to monocular models",['cs.CV'],http://arxiv.org/abs/2403.12953v2
MAMo: Leveraging Memory and Attention for Monocular Video Depth Estimation,"We propose MAMo, a novel memory and attention frame-work for monocular video
depth estimation. MAMo can augment and improve any single-image depth
estimation networks into video depth estimation models, enabling them to take
advantage of the temporal information to predict more accurate depth. In MAMo,
we augment model with memory which aids the depth prediction as the model
streams through the video. Specifically, the memory stores learned visual and
displacement tokens of the previous time instances. This allows the depth
network to cross-reference relevant features from the past when predicting
depth on the current frame. We introduce a novel scheme to continuously update
the memory, optimizing it to keep tokens that correspond with both the past and
the present visual information. We adopt attention-based approach to process
memory features where we first learn the spatio-temporal relation among the
resultant visual and displacement memory tokens using self-attention module.
Further, the output features of self-attention are aggregated with the current
visual features through cross-attention. The cross-attended features are
finally given to a decoder to predict depth on the current frame. Through
extensive experiments on several benchmarks, including KITTI, NYU-Depth V2, and
DDAD, we show that MAMo consistently improves monocular depth estimation
networks and sets new state-of-the-art (SOTA) accuracy. Notably, our MAMo video
depth estimation provides higher accuracy with lower latency, when omparing to
SOTA cost-volume-based video depth models.",['cs.CV'],http://arxiv.org/abs/2307.14336v3
A Comparative Study on Multi-task Uncertainty Quantification in Semantic Segmentation and Monocular Depth Estimation,"Deep neural networks excel in perception tasks such as semantic segmentation
and monocular depth estimation, making them indispensable in safety-critical
applications like autonomous driving and industrial inspection. However, they
often suffer from overconfidence and poor explainability, especially for
out-of-domain data. While uncertainty quantification has emerged as a promising
solution to these challenges, multi-task settings have yet to be explored. In
an effort to shed light on this, we evaluate Monte Carlo Dropout, Deep
Sub-Ensembles, and Deep Ensembles for joint semantic segmentation and monocular
depth estimation. Thereby, we reveal that Deep Ensembles stand out as the
preferred choice, particularly in out-of-domain scenarios, and show the
potential benefit of multi-task learning with regard to the uncertainty quality
in comparison to solving both tasks separately. Additionally, we highlight the
impact of employing different uncertainty thresholds to classify pixels as
certain or uncertain, with the median uncertainty emerging as a robust default.","['cs.CV', 'cs.AI', 'cs.LG']",http://arxiv.org/abs/2405.17097v2
DEFOM-Stereo: Depth Foundation Model Based Stereo Matching,"Stereo matching is a key technique for metric depth estimation in computer
vision and robotics. Real-world challenges like occlusion and non-texture
hinder accurate disparity estimation from binocular matching cues. Recently,
monocular relative depth estimation has shown remarkable generalization using
vision foundation models. Thus, to facilitate robust stereo matching with
monocular depth cues, we incorporate a robust monocular relative depth model
into the recurrent stereo-matching framework, building a new framework for
depth foundation model-based stereo-matching, DEFOM-Stereo. In the feature
extraction stage, we construct the combined context and matching feature
encoder by integrating features from conventional CNNs and DEFOM. In the update
stage, we use the depth predicted by DEFOM to initialize the recurrent
disparity and introduce a scale update module to refine the disparity at the
correct scale. DEFOM-Stereo is verified to have comparable performance on the
Scene Flow dataset with state-of-the-art (SOTA) methods and notably shows much
stronger zero-shot generalization. Moreover, DEFOM-Stereo achieves SOTA
performance on the KITTI 2012, KITTI 2015, Middlebury, and ETH3D benchmarks,
ranking 1st on many metrics. In the joint evaluation under the robust vision
challenge, our model simultaneously outperforms previous models on the
individual benchmarks. Both results demonstrate the outstanding capabilities of
the proposed model.",['cs.CV'],http://arxiv.org/abs/2501.09466v1
MonSter: Marry Monodepth to Stereo Unleashes Power,"Stereo matching recovers depth from image correspondences. Existing methods
struggle to handle ill-posed regions with limited matching cues, such as
occlusions and textureless areas. To address this, we propose MonSter, a novel
method that leverages the complementary strengths of monocular depth estimation
and stereo matching. MonSter integrates monocular depth and stereo matching
into a dual-branch architecture to iteratively improve each other.
Confidence-based guidance adaptively selects reliable stereo cues for monodepth
scale-shift recovery. The refined monodepth is in turn guides stereo
effectively at ill-posed regions. Such iterative mutual enhancement enables
MonSter to evolve monodepth priors from coarse object-level structures to
pixel-level geometry, fully unlocking the potential of stereo matching. As
shown in Fig.1, MonSter ranks 1st across five most commonly used leaderboards
-- SceneFlow, KITTI 2012, KITTI 2015, Middlebury, and ETH3D. Achieving up to
49.5% improvements (Bad 1.0 on ETH3D) over the previous best method.
Comprehensive analysis verifies the effectiveness of MonSter in ill-posed
regions. In terms of zero-shot generalization, MonSter significantly and
consistently outperforms state-of-the-art across the board. The code is
publicly available at: https://github.com/Junda24/MonSter.",['cs.CV'],http://arxiv.org/abs/2501.08643v1
A Critical Synthesis of Uncertainty Quantification and Foundation Models in Monocular Depth Estimation,"While recent foundation models have enabled significant breakthroughs in
monocular depth estimation, a clear path towards safe and reliable deployment
in the real-world remains elusive. Metric depth estimation, which involves
predicting absolute distances, poses particular challenges, as even the most
advanced foundation models remain prone to critical errors. Since quantifying
the uncertainty has emerged as a promising endeavor to address these
limitations and enable trustworthy deployment, we fuse five different
uncertainty quantification methods with the current state-of-the-art
DepthAnythingV2 foundation model. To cover a wide range of metric depth
domains, we evaluate their performance on four diverse datasets. Our findings
identify fine-tuning with the Gaussian Negative Log-Likelihood Loss (GNLL) as a
particularly promising approach, offering reliable uncertainty estimates while
maintaining predictive performance and computational efficiency on par with the
baseline, encompassing both training and inference time. By fusing uncertainty
quantification and foundation models within the context of monocular depth
estimation, this paper lays a critical foundation for future research aimed at
improving not only model performance but also its explainability. Extending
this critical synthesis of uncertainty quantification and foundation models
into other crucial tasks, such as semantic segmentation and pose estimation,
presents exciting opportunities for safer and more reliable machine vision
systems.","['cs.CV', 'cs.AI', 'cs.LG']",http://arxiv.org/abs/2501.08188v1
Revisiting Birds Eye View Perception Models with Frozen Foundation Models: DINOv2 and Metric3Dv2,"Birds Eye View perception models require extensive data to perform and
generalize effectively. While traditional datasets often provide abundant
driving scenes from diverse locations, this is not always the case. It is
crucial to maximize the utility of the available training data. With the advent
of large foundation models such as DINOv2 and Metric3Dv2, a pertinent question
arises: can these models be integrated into existing model architectures to not
only reduce the required training data but surpass the performance of current
models? We choose two model architectures in the vehicle segmentation domain to
alter: Lift-Splat-Shoot, and Simple-BEV. For Lift-Splat-Shoot, we explore the
implementation of frozen DINOv2 for feature extraction and Metric3Dv2 for depth
estimation, where we greatly exceed the baseline results by 7.4 IoU while
utilizing only half the training data and iterations. Furthermore, we introduce
an innovative application of Metric3Dv2's depth information as a PseudoLiDAR
point cloud incorporated into the Simple-BEV architecture, replacing
traditional LiDAR. This integration results in a +3 IoU improvement compared to
the Camera-only model.",['cs.CV'],http://arxiv.org/abs/2501.08118v1
RGB-D Indiscernible Object Counting in Underwater Scenes,"Recently, indiscernible/camouflaged scene understanding has attracted lots of
research attention in the vision community. We further advance the frontier of
this field by systematically studying a new challenge named indiscernible
object counting (IOC), the goal of which is to count objects that are blended
with respect to their surroundings. Due to a lack of appropriate IOC datasets,
we present a large-scale dataset IOCfish5K which contains a total of 5,637
high-resolution images and 659,024 annotated center points. Our dataset
consists of a large number of indiscernible objects (mainly fish) in underwater
scenes, making the annotation process all the more challenging. IOCfish5K is
superior to existing datasets with indiscernible scenes because of its larger
scale, higher image resolutions, more annotations, and denser scenes. All these
aspects make it the most challenging dataset for IOC so far, supporting
progress in this area. Benefiting from the recent advancements of depth
estimation foundation models, we construct high-quality depth maps for
IOCfish5K by generating pseudo labels using the Depth Anything V2 model. The
RGB-D version of IOCfish5K is named IOCfish5K-D. For benchmarking purposes on
IOCfish5K, we select 14 mainstream methods for object counting and carefully
evaluate them. For multimodal IOCfish5K-D, we evaluate other 4 popular
multimodal counting methods. Furthermore, we propose IOCFormer, a new strong
baseline that combines density and regression branches in a unified framework
and can effectively tackle object counting under concealed scenes. We also
propose IOCFormer-D to enable the effective usage of depth modality in helping
detect and count objects hidden in their environments. Experiments show that
IOCFormer and IOCFormer-D achieve state-of-the-art scores on IOCfish5K and
IOCfish5K-D, respectively.",['cs.CV'],http://arxiv.org/abs/2304.11677v2
Matching Free Depth Recovery from Structured Light,"We present a novel approach for depth estimation from images captured by
structured light systems. Unlike many previous methods that rely on image
matching process, our approach uses a density voxel grid to represent scene
geometry, which is trained via self-supervised differentiable volume rendering.
Our method leverages color fields derived from projected patterns in structured
light systems during the rendering process, enabling the isolated optimization
of the geometry field. This contributes to faster convergence and high-quality
output. Additionally, we incorporate normalized device coordinates (NDC), a
distortion loss, and a novel surface-based color loss to enhance geometric
fidelity. Experimental results demonstrate that our method outperforms existing
matching-based techniques in geometric performance for few-shot scenarios,
achieving approximately a 60% reduction in average estimated depth errors on
synthetic scenes and about 30% on real-world captured scenes. Furthermore, our
approach delivers fast training, with a speed roughly three times faster than
previous matching-free methods that employ implicit representations.",['cs.CV'],http://arxiv.org/abs/2501.07113v1
ViPOcc: Leveraging Visual Priors from Vision Foundation Models for Single-View 3D Occupancy Prediction,"Inferring the 3D structure of a scene from a single image is an ill-posed and
challenging problem in the field of vision-centric autonomous driving. Existing
methods usually employ neural radiance fields to produce voxelized 3D
occupancy, lacking instance-level semantic reasoning and temporal photometric
consistency. In this paper, we propose ViPOcc, which leverages the visual
priors from vision foundation models (VFMs) for fine-grained 3D occupancy
prediction. Unlike previous works that solely employ volume rendering for RGB
and depth image reconstruction, we introduce a metric depth estimation branch,
in which an inverse depth alignment module is proposed to bridge the domain gap
in depth distribution between VFM predictions and the ground truth. The
recovered metric depth is then utilized in temporal photometric alignment and
spatial geometric alignment to ensure accurate and consistent 3D occupancy
prediction. Additionally, we also propose a semantic-guided non-overlapping
Gaussian mixture sampler for efficient, instance-aware ray sampling, which
addresses the redundant and imbalanced sampling issue that still exists in
previous state-of-the-art methods. Extensive experiments demonstrate the
superior performance of ViPOcc in both 3D occupancy prediction and depth
estimation tasks on the KITTI-360 and KITTI Raw datasets. Our code is available
at: \url{https://mias.group/ViPOcc}.",['cs.CV'],http://arxiv.org/abs/2412.11210v2
Relative Pose Estimation through Affine Corrections of Monocular Depth Priors,"Monocular depth estimation (MDE) models have undergone significant
advancements over recent years. Many MDE models aim to predict affine-invariant
relative depth from monocular images, while recent developments in large-scale
training and vision foundation models enable reasonable estimation of metric
(absolute) depth. However, effectively leveraging these predictions for
geometric vision tasks, in particular relative pose estimation, remains
relatively under explored. While depths provide rich constraints for cross-view
image alignment, the intrinsic noise and ambiguity from the monocular depth
priors present practical challenges to improving upon classic keypoint-based
solutions. In this paper, we develop three solvers for relative pose estimation
that explicitly account for independent affine (scale and shift) ambiguities,
covering both calibrated and uncalibrated conditions. We further propose a
hybrid estimation pipeline that combines our proposed solvers with classic
point-based solvers and epipolar constraints. We find that the affine
correction modeling is beneficial to not only the relative depth priors but
also, surprisingly, the ``metric"" ones. Results across multiple datasets
demonstrate large improvements of our approach over classic keypoint-based
baselines and PnP-based solutions, under both calibrated and uncalibrated
setups. We also show that our method improves consistently with different
feature matchers and MDE models, and can further benefit from very recent
advances on both modules. Code is available at
https://github.com/MarkYu98/madpose.",['cs.CV'],http://arxiv.org/abs/2501.05446v1
$DPF^*$: improved Depth Potential Function for scale-invariant sulcal depth estimation,"The shape of human brain is complex and highly variable, with interactions
between brain size, cortical folding, and age well-documented in the
literature. However, few studies have explored how global brain size influences
geometric features of the cortical surface derived from anatomical MRI. In this
work, we focus on sulcal depth, an imaging phenotype that has gained
significant attention in both basic research and clinical applications. We make
key contributions to the field by: 1) providing the first quantitative analysis
of how brain size affects sulcal depth measurements; 2) introducing a novel,
scale-invariant method for sulcal depth estimation based on an original
formalization of the problem; 3) presenting a validation framework and sharing
our code and benchmark data with the community; and 4) demonstrating the
biological relevance of our new sulcal depth measure using a large sample of
1,987 subjects spanning the developmental period from 26 weeks post-conception
to adulthood.",['cs.CV'],http://arxiv.org/abs/2501.05436v1
A Systematic Literature Review on Deep Learning-based Depth Estimation in Computer Vision,"Depth estimation (DE) provides spatial information about a scene and enables
tasks such as 3D reconstruction, object detection, and scene understanding.
Recently, there has been an increasing interest in using deep learning
(DL)-based methods for DE. Traditional techniques rely on handcrafted features
that often struggle to generalise to diverse scenes and require extensive
manual tuning. However, DL models for DE can automatically extract relevant
features from input data, adapt to various scene conditions, and generalise
well to unseen environments. Numerous DL-based methods have been developed,
making it necessary to survey and synthesize the state-of-the-art (SOTA).
Previous reviews on DE have mainly focused on either monocular or stereo-based
techniques, rather than comprehensively reviewing DE. Furthermore, to the best
of our knowledge, there is no systematic literature review (SLR) that
comprehensively focuses on DE. Therefore, this SLR study is being conducted.
Initially, electronic databases were searched for relevant publications,
resulting in 1284 publications. Using defined exclusion and quality criteria,
128 publications were shortlisted and further filtered to select 59
high-quality primary studies. These studies were analysed to extract data and
answer defined research questions. Based on the results, DL methods were
developed for mainly three different types of DE: monocular, stereo, and
multi-view. 20 publicly available datasets were used to train, test, and
evaluate DL models for DE, with KITTI, NYU Depth V2, and Make 3D being the most
used datasets. 29 evaluation metrics were used to assess the performance of DE.
35 base models were reported in the primary studies, and the top five most-used
base models were ResNet-50, ResNet-18, ResNet-101, U-Net, and VGG-16. Finally,
the lack of ground truth data was among the most significant challenges
reported by primary studies.","['cs.CV', 'cs.AI', 'cs.RO']",http://arxiv.org/abs/2501.05147v1
AuxDepthNet: Real-Time Monocular 3D Object Detection with Depth-Sensitive Features,"Monocular 3D object detection is a challenging task in autonomous systems due
to the lack of explicit depth information in single-view images. Existing
methods often depend on external depth estimators or expensive sensors, which
increase computational complexity and hinder real-time performance. To overcome
these limitations, we propose AuxDepthNet, an efficient framework for real-time
monocular 3D object detection that eliminates the reliance on external depth
maps or pre-trained depth models. AuxDepthNet introduces two key components:
the Auxiliary Depth Feature (ADF) module, which implicitly learns
depth-sensitive features to improve spatial reasoning and computational
efficiency, and the Depth Position Mapping (DPM) module, which embeds depth
positional information directly into the detection process to enable accurate
object localization and 3D bounding box regression. Leveraging the DepthFusion
Transformer architecture, AuxDepthNet globally integrates visual and
depth-sensitive features through depth-guided interactions, ensuring robust and
efficient detection. Extensive experiments on the KITTI dataset show that
AuxDepthNet achieves state-of-the-art performance, with $\text{AP}_{3D}$ scores
of 24.72\% (Easy), 18.63\% (Moderate), and 15.31\% (Hard), and
$\text{AP}_{\text{BEV}}$ scores of 34.11\% (Easy), 25.18\% (Moderate), and
21.90\% (Hard) at an IoU threshold of 0.7.","['cs.CV', 'cs.AI']",http://arxiv.org/abs/2501.03700v1
EndoOmni: Zero-Shot Cross-Dataset Depth Estimation in Endoscopy by Robust Self-Learning from Noisy Labels,"Single-image depth estimation is essential for endoscopy tasks such as
localization, reconstruction, and augmented reality. Most existing methods in
surgical scenes focus on in-domain depth estimation, limiting their real-world
applicability. This constraint stems from the scarcity and inferior labeling
quality of medical data for training. In this work, we present EndoOmni, the
first foundation model for zero-shot cross-domain depth estimation for
endoscopy. To harness the potential of diverse training data, we refine the
advanced self-learning paradigm that employs a teacher model to generate
pseudo-labels, guiding a student model trained on large-scale labeled and
unlabeled data. To address training disturbance caused by inherent noise in
depth labels, we propose a robust training framework that leverages both depth
labels and estimated confidence from the teacher model to jointly guide the
student model training. Moreover, we propose a weighted scale-and-shift
invariant loss to adaptively adjust learning weights based on label confidence,
thus imposing learning bias towards cleaner label pixels while reducing the
influence of highly noisy pixels. Experiments on zero-shot relative depth
estimation show that our EndoOmni improves state-of-the-art methods in medical
imaging for 33\% and existing foundation models for 34\% in terms of absolute
relative error on specific datasets. Furthermore, our model provides strong
initialization for fine-tuning metric depth estimation, maintaining superior
performance in both in-domain and out-of-domain scenarios. The source code is
publicly available at https://github.com/TianCuteQY/EndoOmni.",['cs.CV'],http://arxiv.org/abs/2409.05442v4
DepthMaster: Taming Diffusion Models for Monocular Depth Estimation,"Monocular depth estimation within the diffusion-denoising paradigm
demonstrates impressive generalization ability but suffers from low inference
speed. Recent methods adopt a single-step deterministic paradigm to improve
inference efficiency while maintaining comparable performance. However, they
overlook the gap between generative and discriminative features, leading to
suboptimal results. In this work, we propose DepthMaster, a single-step
diffusion model designed to adapt generative features for the discriminative
depth estimation task. First, to mitigate overfitting to texture details
introduced by generative features, we propose a Feature Alignment module, which
incorporates high-quality semantic features to enhance the denoising network's
representation capability. Second, to address the lack of fine-grained details
in the single-step deterministic framework, we propose a Fourier Enhancement
module to adaptively balance low-frequency structure and high-frequency
details. We adopt a two-stage training strategy to fully leverage the potential
of the two modules. In the first stage, we focus on learning the global scene
structure with the Feature Alignment module, while in the second stage, we
exploit the Fourier Enhancement module to improve the visual quality. Through
these efforts, our model achieves state-of-the-art performance in terms of
generalization and detail preservation, outperforming other diffusion-based
methods across various datasets. Our project page can be found at
https://indu1ge.github.io/DepthMaster_page.",['cs.CV'],http://arxiv.org/abs/2501.02576v1
Depth Any Camera: Zero-Shot Metric Depth Estimation from Any Camera,"While recent depth estimation methods exhibit strong zero-shot
generalization, achieving accurate metric depth across diverse camera
types-particularly those with large fields of view (FoV) such as fisheye and
360-degree cameras-remains a significant challenge. This paper presents Depth
Any Camera (DAC), a powerful zero-shot metric depth estimation framework that
extends a perspective-trained model to effectively handle cameras with varying
FoVs. The framework is designed to ensure that all existing 3D data can be
leveraged, regardless of the specific camera types used in new applications.
Remarkably, DAC is trained exclusively on perspective images but generalizes
seamlessly to fisheye and 360-degree cameras without the need for specialized
training data. DAC employs Equi-Rectangular Projection (ERP) as a unified image
representation, enabling consistent processing of images with diverse FoVs. Its
key components include a pitch-aware Image-to-ERP conversion for efficient
online augmentation in ERP space, a FoV alignment operation to support
effective training across a wide range of FoVs, and multi-resolution data
augmentation to address resolution disparities between training and testing.
DAC achieves state-of-the-art zero-shot metric depth estimation, improving
delta-1 ($\delta_1$) accuracy by up to 50% on multiple fisheye and 360-degree
datasets compared to prior metric depth foundation models, demonstrating robust
generalization across camera types.","['cs.CV', 'cs.AI', 'cs.RO']",http://arxiv.org/abs/2501.02464v1
SafeAug: Safety-Critical Driving Data Augmentation from Naturalistic Datasets,"Safety-critical driving data is crucial for developing safe and trustworthy
self-driving algorithms. Due to the scarcity of safety-critical data in
naturalistic datasets, current approaches primarily utilize simulated or
artificially generated images. However, there remains a gap in authenticity
between these generated images and naturalistic ones. We propose a novel
framework to augment the safety-critical driving data from the naturalistic
dataset to address this issue. In this framework, we first detect vehicles
using YOLOv5, followed by depth estimation and 3D transformation to simulate
vehicle proximity and critical driving scenarios better. This allows for
targeted modification of vehicle dynamics data to reflect potentially hazardous
situations. Compared to the simulated or artificially generated data, our
augmentation methods can generate safety-critical driving data with minimal
compromise on image authenticity. Experiments using KITTI datasets demonstrate
that a downstream self-driving algorithm trained on this augmented dataset
performs superiorly compared to the baselines, which include SMOGN and
importance sampling.","['cs.CV', 'cs.LG']",http://arxiv.org/abs/2501.02143v1
Metric3Dv2: A Versatile Monocular Geometric Foundation Model for Zero-shot Metric Depth and Surface Normal Estimation,"We introduce Metric3D v2, a geometric foundation model for zero-shot metric
depth and surface normal estimation from a single image, which is crucial for
metric 3D recovery. While depth and normal are geometrically related and highly
complimentary, they present distinct challenges. SoTA monocular depth methods
achieve zero-shot generalization by learning affine-invariant depths, which
cannot recover real-world metrics. Meanwhile, SoTA normal estimation methods
have limited zero-shot performance due to the lack of large-scale labeled data.
To tackle these issues, we propose solutions for both metric depth estimation
and surface normal estimation. For metric depth estimation, we show that the
key to a zero-shot single-view model lies in resolving the metric ambiguity
from various camera models and large-scale data training. We propose a
canonical camera space transformation module, which explicitly addresses the
ambiguity problem and can be effortlessly plugged into existing monocular
models. For surface normal estimation, we propose a joint depth-normal
optimization module to distill diverse data knowledge from metric depth,
enabling normal estimators to learn beyond normal labels. Equipped with these
modules, our depth-normal models can be stably trained with over 16 million of
images from thousands of camera models with different-type annotations,
resulting in zero-shot generalization to in-the-wild images with unseen camera
settings. Our method enables the accurate recovery of metric 3D structures on
randomly collected internet images, paving the way for plausible single-image
metrology. Our project page is at https://JUGGHM.github.io/Metric3Dv2.",['cs.CV'],http://arxiv.org/abs/2404.15506v4
IGAF: Incremental Guided Attention Fusion for Depth Super-Resolution,"Accurate depth estimation is crucial for many fields, including robotics,
navigation, and medical imaging. However, conventional depth sensors often
produce low-resolution (LR) depth maps, making detailed scene perception
challenging. To address this, enhancing LR depth maps to high-resolution (HR)
ones has become essential, guided by HR-structured inputs like RGB or grayscale
images. We propose a novel sensor fusion methodology for guided depth
super-resolution (GDSR), a technique that combines LR depth maps with HR images
to estimate detailed HR depth maps. Our key contribution is the Incremental
guided attention fusion (IGAF) module, which effectively learns to fuse
features from RGB images and LR depth maps, producing accurate HR depth maps.
Using IGAF, we build a robust super-resolution model and evaluate it on
multiple benchmark datasets. Our model achieves state-of-the-art results
compared to all baseline models on the NYU v2 dataset for $\times 4$, $\times
8$, and $\times 16$ upsampling. It also outperforms all baselines in a
zero-shot setting on the Middlebury, Lu, and RGB-D-D datasets. Code,
environments, and models are available on GitHub.",['cs.CV'],http://arxiv.org/abs/2501.01723v1
TexAVi: Generating Stereoscopic VR Video Clips from Text Descriptions,"While generative models such as text-to-image, large language models and
text-to-video have seen significant progress, the extension to
text-to-virtual-reality remains largely unexplored, due to a deficit in
training data and the complexity of achieving realistic depth and motion in
virtual environments. This paper proposes an approach to coalesce existing
generative systems to form a stereoscopic virtual reality video from text.
  Carried out in three main stages, we start with a base text-to-image model
that captures context from an input text. We then employ Stable Diffusion on
the rudimentary image produced, to generate frames with enhanced realism and
overall quality. These frames are processed with depth estimation algorithms to
create left-eye and right-eye views, which are stitched side-by-side to create
an immersive viewing experience. Such systems would be highly beneficial in
virtual reality production, since filming and scene building often require
extensive hours of work and post-production effort.
  We utilize image evaluation techniques, specifically Fr\'echet Inception
Distance and CLIP Score, to assess the visual quality of frames produced for
the video. These quantitative measures establish the proficiency of the
proposed method.
  Our work highlights the exciting possibilities of using natural
language-driven graphics in fields like virtual reality simulations.","['cs.CV', 'cs.AI', 'cs.LG', 'I.2']",http://arxiv.org/abs/2501.01156v1
PatchRefiner V2: Fast and Lightweight Real-Domain High-Resolution Metric Depth Estimation,"While current high-resolution depth estimation methods achieve strong
results, they often suffer from computational inefficiencies due to reliance on
heavyweight models and multiple inference steps, increasing inference time. To
address this, we introduce PatchRefiner V2 (PRV2), which replaces heavy refiner
models with lightweight encoders. This reduces model size and inference time
but introduces noisy features. To overcome this, we propose a Coarse-to-Fine
(C2F) module with a Guided Denoising Unit for refining and denoising the
refiner features and a Noisy Pretraining strategy to pretrain the refiner
branch to fully exploit the potential of the lightweight refiner branch.
Additionally, we introduce a Scale-and-Shift Invariant Gradient Matching
(SSIGM) loss to enhance synthetic-to-real domain transfer. PRV2 outperforms
state-of-the-art depth estimation methods on UnrealStereo4K in both accuracy
and speed, using fewer parameters and faster inference. It also shows improved
depth boundary delineation on real-world datasets like CityScape, ScanNet++,
and KITTI, demonstrating its versatility across domains.",['cs.CV'],http://arxiv.org/abs/2501.01121v1
FPGA-based Acceleration of Neural Network for Image Classification using Vitis AI,"In recent years, Convolutional Neural Networks (CNNs) have been widely
adopted in computer vision. Complex CNN architecture running on CPU or GPU has
either insufficient throughput or prohibitive power consumption. Hence, there
is a need to have dedicated hardware to accelerate the computation workload to
solve these limitations. In this paper, we accelerate a CNN for image
classification with the CIFAR-10 dataset using Vitis-AI on Xilinx Zynq
UltraScale+ MPSoC ZCU104 FPGA evaluation board. The work achieves 3.33-5.82x
higher throughput and 3.39-6.30x higher energy efficiency than CPU and GPU
baselines. It shows the potential to extract 2D features for downstream tasks,
such as depth estimation and 3D reconstruction.","['cs.CV', 'eess.IV']",http://arxiv.org/abs/2412.20974v1
AttEntropy: On the Generalization Ability of Supervised Semantic Segmentation Transformers to New Objects in New Domains,"In addition to impressive performance, vision transformers have demonstrated
remarkable abilities to encode information they were not trained to extract.
For example, this information can be used to perform segmentation or
single-view depth estimation even though the networks were only trained for
image recognition. We show that a similar phenomenon occurs when explicitly
training transformers for semantic segmentation in a supervised manner for a
set of categories: Once trained, they provide valuable information even about
categories absent from the training set. This information can be used to
segment objects from these never-seen-before classes in domains as varied as
road obstacles, aircraft parked at a terminal, lunar rocks, and maritime
hazards.","['cs.CV', 'I.4.6; I.4.8; I.5.4']",http://arxiv.org/abs/2212.14397v3
MetricDepth: Enhancing Monocular Depth Estimation with Deep Metric Learning,"Deep metric learning aims to learn features relying on the consistency or
divergence of class labels. However, in monocular depth estimation, the absence
of a natural definition of class poses challenges in the leveraging of deep
metric learning. Addressing this gap, this paper introduces MetricDepth, a
novel method that integrates deep metric learning to enhance the performance of
monocular depth estimation. To overcome the inapplicability of the class-based
sample identification in previous deep metric learning methods to monocular
depth estimation task, we design the differential-based sample identification.
This innovative approach identifies feature samples as different sample types
by their depth differentials relative to anchor, laying a foundation for
feature regularizing in monocular depth estimation models. Building upon this
advancement, we then address another critical problem caused by the vast range
and the continuity of depth annotations in monocular depth estimation. The
extensive and continuous annotations lead to the diverse differentials of
negative samples to anchor feature, representing the varied impact of negative
samples during feature regularizing. Recognizing the inadequacy of the uniform
strategy in previous deep metric learning methods for handling negative samples
in monocular depth estimation task, we propose the multi-range strategy.
Through further distinction on negative samples according to depth differential
ranges and implementation of diverse regularizing, our multi-range strategy
facilitates differentiated regularization interactions between anchor feature
and its negative samples. Experiments across various datasets and model types
demonstrate the effectiveness and versatility of MetricDepth,confirming its
potential for performance enhancement in monocular depth estimation task.",['cs.CV'],http://arxiv.org/abs/2412.20390v1
